2021-02-17 18:21:09,818 - log  - 添加深圳能源股票数据到数据库--成功,用时-3.0511186000000023
2021-02-17 18:21:09,818 - log  - 深圳能源 共487条数据已添加到数据库！
2021-02-17 18:21:09,822 - log  - 初始化pro接口成功
2021-02-17 18:21:09,822 - log  - 抓取国药一致股票数据
2021-02-17 18:21:12,816 - log  - 添加国药一致股票数据到数据库--成功,用时-2.993823099999993
2021-02-17 18:21:12,816 - log  - 国药一致 共487条数据已添加到数据库！
2021-02-17 18:21:12,820 - log  - 初始化pro接口成功
2021-02-17 18:21:12,820 - log  - 抓取深深房A股票数据
2021-02-17 18:21:13,186 - log  - 添加深深房A股票数据到数据库--成功,用时-0.36601710000000764
2021-02-17 18:21:13,187 - log  - 深深房A 共39条数据已添加到数据库！
2021-02-17 18:21:13,190 - log  - 初始化pro接口成功
2021-02-17 18:21:13,191 - log  - 抓取富奥股份股票数据
2021-02-17 18:21:16,166 - log  - 添加富奥股份股票数据到数据库--成功,用时-2.974869400000003
2021-02-17 18:21:16,166 - log  - 富奥股份 共487条数据已添加到数据库！
2021-02-17 18:21:16,171 - log  - 初始化pro接口成功
2021-02-17 18:21:16,172 - log  - 抓取大悦城股票数据
2021-02-17 18:21:19,241 - log  - 添加大悦城股票数据到数据库--成功,用时-3.068976599999999
2021-02-17 18:21:19,241 - log  - 大悦城 共487条数据已添加到数据库！
2021-02-17 18:21:19,247 - log  - 初始化pro接口成功
2021-02-17 18:21:19,247 - log  - 抓取深桑达A股票数据
2021-02-17 18:21:22,025 - log  - 添加深桑达A股票数据到数据库--成功,用时-2.7774301000000037
2021-02-17 18:21:22,025 - log  - 深桑达A 共477条数据已添加到数据库！
2021-02-17 18:21:22,029 - log  - 初始化pro接口成功
2021-02-17 18:21:22,029 - log  - 抓取神州数码股票数据
2021-02-17 18:21:25,105 - log  - 添加神州数码股票数据到数据库--成功,用时-3.0765731000000045
2021-02-17 18:21:25,105 - log  - 神州数码 共487条数据已添加到数据库！
2021-02-17 18:21:25,109 - log  - 初始化pro接口成功
2021-02-17 18:21:25,109 - log  - 抓取中国天楹股票数据
2021-02-17 18:21:28,087 - log  - 添加中国天楹股票数据到数据库--成功,用时-2.977439899999993
2021-02-17 18:21:28,087 - log  - 中国天楹 共487条数据已添加到数据库！
2021-02-17 18:21:28,091 - log  - 初始化pro接口成功
2021-02-17 18:21:28,091 - log  - 抓取华联控股股票数据
2021-02-17 18:21:31,006 - log  - 添加华联控股股票数据到数据库--成功,用时-2.9141891999999956
2021-02-17 18:21:31,006 - log  - 华联控股 共487条数据已添加到数据库！
2021-02-17 18:21:31,010 - log  - 初始化pro接口成功
2021-02-17 18:21:31,011 - log  - 抓取深南电A股票数据
2021-02-17 18:21:34,079 - log  - 添加深南电A股票数据到数据库--成功,用时-3.0686098000000044
2021-02-17 18:21:34,079 - log  - 深南电A 共484条数据已添加到数据库！
2021-02-17 18:21:34,083 - log  - 初始化pro接口成功
2021-02-17 18:21:34,083 - log  - 抓取深大通股票数据
2021-02-17 18:21:37,177 - log  - 添加深大通股票数据到数据库--成功,用时-3.0941217000000023
2021-02-17 18:21:37,177 - log  - 深大通 共487条数据已添加到数据库！
2021-02-17 18:21:37,181 - log  - 初始化pro接口成功
2021-02-17 18:21:37,182 - log  - 抓取中集集团股票数据
2021-02-17 18:21:40,221 - log  - 添加中集集团股票数据到数据库--成功,用时-3.0389808000000045
2021-02-17 18:21:40,221 - log  - 中集集团 共482条数据已添加到数据库！
2021-02-17 18:21:40,225 - log  - 初始化pro接口成功
2021-02-17 18:21:40,225 - log  - 抓取东旭蓝天股票数据
2021-02-17 18:21:43,134 - log  - 添加东旭蓝天股票数据到数据库--成功,用时-2.9084601999999933
2021-02-17 18:21:43,134 - log  - 东旭蓝天 共472条数据已添加到数据库！
2021-02-17 18:21:43,137 - log  - 初始化pro接口成功
2021-02-17 18:21:43,138 - log  - 抓取中洲控股股票数据
2021-02-17 18:21:46,178 - log  - 添加中洲控股股票数据到数据库--成功,用时-3.0399314000000004
2021-02-17 18:21:46,178 - log  - 中洲控股 共487条数据已添加到数据库！
2021-02-17 18:21:46,182 - log  - 初始化pro接口成功
2021-02-17 18:21:46,182 - log  - 抓取深纺织A股票数据
2021-02-17 18:21:49,075 - log  - 添加深纺织A股票数据到数据库--成功,用时-2.8928393000000057
2021-02-17 18:21:49,075 - log  - 深纺织A 共487条数据已添加到数据库！
2021-02-17 18:21:49,081 - log  - 初始化pro接口成功
2021-02-17 18:21:49,081 - log  - 抓取泛海控股股票数据
2021-02-17 18:21:52,135 - log  - 添加泛海控股股票数据到数据库--成功,用时-3.0532637999999963
2021-02-17 18:21:52,135 - log  - 泛海控股 共487条数据已添加到数据库！
2021-02-17 18:21:52,139 - log  - 初始化pro接口成功
2021-02-17 18:21:52,139 - log  - 抓取京基智农股票数据
2021-02-17 18:21:55,390 - log  - 添加京基智农股票数据到数据库--成功,用时-3.251444399999997
2021-02-17 18:21:55,391 - log  - 京基智农 共483条数据已添加到数据库！
2021-02-17 18:21:55,395 - log  - 初始化pro接口成功
2021-02-17 18:21:55,395 - log  - 抓取德赛电池股票数据
2021-02-17 18:21:58,498 - log  - 添加德赛电池股票数据到数据库--成功,用时-3.1030528000000004
2021-02-17 18:21:58,498 - log  - 德赛电池 共487条数据已添加到数据库！
2021-02-17 18:21:58,502 - log  - 初始化pro接口成功
2021-02-17 18:21:58,503 - log  - 抓取深天马A股票数据
2021-02-17 18:22:01,786 - log  - 添加深天马A股票数据到数据库--成功,用时-3.2835144000000014
2021-02-17 18:22:01,786 - log  - 深天马A 共487条数据已添加到数据库！
2021-02-17 18:22:01,790 - log  - 初始化pro接口成功
2021-02-17 18:22:01,790 - log  - 抓取方大集团股票数据
2021-02-17 18:22:04,769 - log  - 添加方大集团股票数据到数据库--成功,用时-2.9789671999999996
2021-02-17 18:22:04,770 - log  - 方大集团 共487条数据已添加到数据库！
2021-02-17 18:22:04,774 - log  - 初始化pro接口成功
2021-02-17 18:22:04,774 - log  - 抓取皇庭国际股票数据
2021-02-17 18:22:07,816 - log  - 添加皇庭国际股票数据到数据库--成功,用时-3.041338499999995
2021-02-17 18:22:07,816 - log  - 皇庭国际 共487条数据已添加到数据库！
2021-02-17 18:22:07,820 - log  - 初始化pro接口成功
2021-02-17 18:22:07,820 - log  - 抓取深赛格股票数据
2021-02-17 18:22:11,028 - log  - 添加深赛格股票数据到数据库--成功,用时-3.207952000000006
2021-02-17 18:22:11,028 - log  - 深赛格 共487条数据已添加到数据库！
2021-02-17 18:22:11,034 - log  - 初始化pro接口成功
